Segment,Lower Funnel Sales Conversions,Lower Funnel Sales Conversions,Totals,,
Month,4,3,Totals,,
Campaign,Key events,Key events,Key events,,
,843,631,1474,Grand total,
(direct),142,71,213,,
(organic),85.058174,123.132925,208.191099,,385.155472
gmb-website,85.146692,83.552668,168.69936,,0.4568866809
(referral),104.805799,59.855103,164.660902,,
Branded_New_Acura_Multi_A,116.898937,37.314826,154.213763,,
PMax-NewSales_New_Acura_Multi_A,46.126342,49.718448,95.84479,,
DT_New Offers - Prospecting,19.887723,40.08751,59.975233,,
Dealer_New_Acura_Multi_A,34.537619,20.476567,55.014186,,
Shopping_New_Acura_Multi_a,48.415444,0,48.415444,,
PMax-Branded_New_Acura_Multi_A,25.693558,17.049494,42.743052,,
Search-CPO_CPO_Acura_Multi_A,17.257661,17.236533,34.494194,,
PMax-CPOSales_CPO_Acura_Multi_A,16.749591,14.794338,31.543929,,
dt_new_acura_mdx_a,14.498836,14.792296,29.291132,,
Apr 24,21,0,21,,
Service_PS_Acura_Multi_a,9.785077,9.600105,19.385182,,
Discovery-NewSales_New_Acura_Multi_A,0,18.633596,18.633596,,
Halo_New_Acura_Multi_A,12.474323,5.300248,17.774571,,
dt_new_acura_tlx_a,6.518743,10.090996,16.609739,,
Shopping_Used_Other_Other_a,15.390028,0,15.390028,,
dt_new_acura_integra_a,5,5,10,,
GEOs_New_Acura_Multi_A,4.706385,5.192649,9.899034,,
Discovery-CPOSales_CPO_Acura_Multi_A,0,8.337567,8.337567,,
(not set),2.633333,4.884612,7.517945,,
dt_new_acura_rdx_a,1.000282,5,6.000282,,
SPRING 24,1,4.522226,5.522226,,
autotrader_listings,4.297466,1,5.297466,,
gmb-appointment,0.876089,2.113389,2.989478,,
PMax: Acura Columbus Vehicle Ads 4,0,1,1,,
autotrader_alpha,1,0,1,,
edmunds_carsforsale,0,1,1,,
Acura Columbus - Vehicle Catalog Ads Campaign,0,0.313326,0.313326,,
RDX,0.241898,0,0.241898,,
google_my_business_service,0,0.000578,0.000578,,
