Segment,Lower Funnel Sales Conversions,Lower Funnel Sales Conversions,Totals,
Month,4,3,Totals,
Source / medium,Key events,Key events,Key events,
,843,631,1474,Grand total
google / cpc,377.052822,248.037657,625.090479,
google / organic,147.682606,160.880001,308.562607,
(direct) / (none),142,71,213,
acuracolumbus.com / referral,79.587969,47.942468,127.530437,
facebook / cpc,19.887723,40.08751,59.975233,
bing / organic,13.897403,21.922666,35.820069,
ConstantContact / Email,22,4.522226,26.522226,
yahoo / organic,5.000948,14.997434,19.998382,
vinurl.com / referral,12.741485,3.079454,15.820939,
duckduckgo / organic,4,7.999461,11.999461,
acura.com / referral,5.002322,2.866666,7.868988,
CarGurus / referral,3.605557,4,7.605557,
autotrader.com / referral,6.299267,1.034798,7.334065,
m.facebook.com / referral,2,0.313326,2.313326,
mygarage.honda.com / referral,1,0.000547,1.000547,
acuracertified.com / referral,0,1,1,
adsensecustomsearchads.com / referral,1,0,1,
tagassistant.google.com / referral,0,1,1,
vinsolutions.app.coxautoinc.com / referral,0,0.315786,0.315786,
Google Cars For Sale / Acura,0.241898,0,0.241898,
