"Lead Source Group","Total Leads","Good Leads","Bad Leads","Duplicate Leads","Bad Other Leads","Customers Influenced","Cox Auto Buying Signals","Sold in Timeframe","Sold in Timeframe %","Sold from Leads","Sold from Leads %","Avg Days to Sale","Internet Attempted Contact","Internet Attempted Contact %","Internet Actual Contact","Internet Actual Contact %","Internet Avg Attempts to Contact","Appts Set","Appts Set %","Appts Scheduled","Appts Scheduled %","Appts Confirmed","Appts Confirmed %","Appts Shown","Appts Shown %","Avg Days to Appt Set","Total Visits","Initial Visits","Be Back Visits","Avg Days to Initial Visit","Avg Days Initial Visit to Be Back","Total Front Gross","Avg Front Gross","Total Back Gross","Avg Back Gross","Total Gross","Avg Gross","Total Cost","Cost Per Good Lead","Cost Per Sold","Profit"
"Dealer Website","113","104","9","9","0","9","1","26","25.00%","25","24.04%","1.4","15","100.00%","13","86.67%","2.1","12","11.54%","10","9.62%","3","30.00%","6","60.00%","0.2","62","60","2","1.7","0.0","$26,279.57","$1,010.75","$30,711.47","$1,181.21","$56,991.04","$2,191.96","$0.00","$0.00","$0.00","$56,991.04"
"Ungrouped","69","50","19","19","0","19","1","18","36.00%","17","34.00%","1.3","10","90.91%","6","54.55%","1.3","8","16.00%","5","10.00%","1","20.00%","5","100.00%","35.6","25","25","0","0.0","0.0","$17,485.09","$971.39","$7,063.28","$392.40","$24,548.37","$1,363.80","$0.00","$0.00","$0.00","$24,548.37"
"Cargurus","45","36","9","9","0","9","0","0","0.00%","0","0.00%","0.0","36","100.00%","18","50.00%","2.7","1","2.78%","1","2.78%","0","0.00%","1","100.00%","1.0","4","4","0","6.8","0.0","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"Carfax","38","29","9","9","0","7","1","1","3.45%","0","0.00%","7.0","29","100.00%","17","58.62%","2.4","1","3.45%","1","3.45%","0","0.00%","0","0.00%","0.0","3","2","1","3.0","0.0","$1,744.15","$1,744.15","$3,709.11","$3,709.11","$5,453.26","$5,453.26","$0.00","$0.00","$0.00","$5,453.26"
"FordDirect","36","33","3","3","0","3","0","0","0.00%","0","0.00%","0.0","33","100.00%","18","54.55%","2.3","1","3.03%","1","3.03%","0","0.00%","1","100.00%","4.0","2","1","1","2.0","0.0","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"Cars.com","34","25","9","9","0","7","3","1","4.00%","1","4.00%","1.0","25","100.00%","11","44.00%","1.9","2","8.00%","2","8.00%","0","0.00%","1","50.00%","0.5","1","1","0","1.0","0.0","$1,386.14","$1,386.14","$1,813.01","$1,813.01","$3,199.15","$3,199.15","$0.00","$0.00","$0.00","$3,199.15"
"DC","29","27","2","2","0","2","1","3","11.11%","2","7.41%","9.3","26","96.30%","20","74.07%","2.0","8","29.63%","4","14.81%","1","25.00%","3","75.00%","1.0","6","6","0","1.7","0.0","$7,041.12","$2,347.04","$10,015.37","$3,338.46","$17,056.49","$5,685.50","$0.00","$0.00","$0.00","$17,056.49"
"Autotrader","28","26","2","2","0","2","8","0","0.00%","0","0.00%","0.0","26","100.00%","15","57.69%","2.7","0","0.00%","1","3.85%","0","0.00%","1","100.00%","0.0","2","2","0","0.5","0.0","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"KBB","22","16","6","6","0","6","7","1","6.25%","1","6.25%","1.0","16","100.00%","7","43.75%","1.9","1","6.25%","1","6.25%","0","0.00%","0","0.00%","0.0","2","2","0","3.0","5.0","$5,164.43","$5,164.43","$630.35","$630.35","$5,794.78","$5,794.78","$0.00","$0.00","$0.00","$5,794.78"
"Service","2","2","0","0","0","0","0","0","0.00%","0","0.00%","0.0","0","0.00%","0","0.00%","0.0","0","0.00%","0","0.00%","0","0.00%","0","0.00%","0.0","1","1","0","0.0","0.0","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00"
